#Slip Speed [rpm],Torque [Nm]
0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,8.858969961743791144e-01
3.000000000000000000e+01,1.770398445312860058e+00
4.500000000000000000e+01,2.652116365418312860e+00
6.000000000000000000e+01,3.529677818262688227e+00
7.500000000000000000e+01,4.401732217186403950e+00
9.000000000000000000e+01,5.266958382666086180e+00
1.050000000000000000e+02,6.124071269209210300e+00
1.200000000000000000e+02,6.971828293388910858e+00
1.350000000000000000e+02,7.809035200301470248e+00
1.500000000000000000e+02,8.634551414202764619e+00
1.650000000000000000e+02,9.447294828323041571e+00
1.800000000000000000e+02,1.024624599862674579e+01
1.950000000000000000e+02,1.103045171632196997e+01
2.100000000000000000e+02,1.179902794398767263e+01
2.250000000000000000e+02,1.255116211004018822e+01
2.400000000000000000e+02,1.328611476568956995e+01
2.550000000000000000e+02,1.400322061735197821e+01
2.700000000000000000e+02,1.470188895552762709e+01
2.850000000000000000e+02,1.538160350829769030e+01
3.000000000000000000e+02,1.604192175374788931e+01
3.150000000000000000e+02,1.668247373073119633e+01
3.300000000000000000e+02,1.730296039141493836e+01
3.450000000000000000e+02,1.790315154202160386e+01
3.600000000000000000e+02,1.848288342010358321e+01
3.750000000000000000e+02,1.904205595764300796e+01
3.900000000000000000e+02,1.958062977931607662e+01
4.050000000000000000e+02,2.009862298449650098e+01
4.200000000000000000e+02,2.059610776009186139e+01
4.350000000000000000e+02,2.107320686922049191e+01
4.500000000000000000e+02,2.153009005814724830e+01
4.650000000000000000e+02,2.196697042091658858e+01
4.800000000000000000e+02,2.238410075784823405e+01
4.950000000000000000e+02,2.278176996059458403e+01
5.100000000000000000e+02,2.316029945288693170e+01
5.250000000000000000e+02,2.352003971249626346e+01
5.400000000000000000e+02,2.386136689637715236e+01
5.550000000000000000e+02,2.418467958750417068e+01
5.700000000000000000e+02,2.449039567859923849e+01
5.850000000000000000e+02,2.477894940482468300e+01
6.000000000000000000e+02,2.505078853460615562e+01
6.150000000000000000e+02,2.530637172507483612e+01
6.300000000000000000e+02,2.554616604619105402e+01
6.450000000000000000e+02,2.577064467543523207e+01
6.600000000000000000e+02,2.598028476303064949e+01
6.750000000000000000e+02,2.617556546598624578e+01
6.900000000000000000e+02,2.635696614781085856e+01
7.050000000000000000e+02,2.652496473954005296e+01
7.200000000000000000e+02,2.668003625671667578e+01
7.350000000000000000e+02,2.682265146616364859e+01
7.500000000000000000e+02,2.695327569576393500e+01
7.650000000000000000e+02,2.707236777999889199e+01
7.800000000000000000e+02,2.718037913367876257e+01
7.950000000000000000e+02,2.727775294610827927e+01
8.100000000000000000e+02,2.736492348784909368e+01
8.250000000000000000e+02,2.744231552225783588e+01
8.400000000000000000e+02,2.751034381407268370e+01
8.550000000000000000e+02,2.756941272748644778e+01
8.700000000000000000e+02,2.761991590636205274e+01
8.850000000000000000e+02,2.766223602950887539e+01
9.000000000000000000e+02,2.769674463423556432e+01
9.150000000000000000e+02,2.772380200171650344e+01
9.300000000000000000e+02,2.774375709804896672e+01
9.450000000000000000e+02,2.775694756522829465e+01
9.600000000000000000e+02,2.776369975662406731e+01
9.750000000000000000e+02,2.776432881189601432e+01
9.900000000000000000e+02,2.775913876664129631e+01
1.005000000000000000e+03,2.774842269240843251e+01
1.020000000000000000e+03,2.773246286305017705e+01
1.035000000000000000e+03,2.771153094371001657e+01
1.050000000000000000e+03,2.768588819904750409e+01
1.065000000000000000e+03,2.765578571760295645e+01
1.080000000000000000e+03,2.762146464948208191e+01
1.095000000000000000e+03,2.758315645480544731e+01
1.110000000000000000e+03,2.754108316061529749e+01
1.125000000000000000e+03,2.749545762416502370e+01
1.140000000000000000e+03,2.744648380073138583e+01
1.155000000000000000e+03,2.739435701429234982e+01
1.170000000000000000e+03,2.733926422959632418e+01
1.185000000000000000e+03,2.728138432432239213e+01
1.200000000000000000e+03,2.722088836018609115e+01
1.215000000000000000e+03,2.715793985199118055e+01
1.230000000000000000e+03,2.709269503375871935e+01
1.245000000000000000e+03,2.702530312118431866e+01
1.260000000000000000e+03,2.695590656978416533e+01
1.275000000000000000e+03,2.688464132818840824e+01
1.290000000000000000e+03,2.681163708613005880e+01
1.305000000000000000e+03,2.673701751675677585e+01
1.320000000000000000e+03,2.666090051296578523e+01
1.335000000000000000e+03,2.658339841752615840e+01
1.350000000000000000e+03,2.650461824680883893e+01
1.365000000000000000e+03,2.642466190799840220e+01
1.380000000000000000e+03,2.634362640970176628e+01
1.395000000000000000e+03,2.626160406591298369e+01
1.410000000000000000e+03,2.617868269332359077e+01
1.425000000000000000e+03,2.609494580200207992e+01
1.440000000000000000e+03,2.601047277949086123e+01
1.455000000000000000e+03,2.592533906839056002e+01
1.470000000000000000e+03,2.583961633752330300e+01
1.485000000000000000e+03,2.575337264678157467e+01
1.500000000000000000e+03,2.566667260578320509e+01
1.515000000000000000e+03,2.557957752646499472e+01
1.530000000000000000e+03,2.549214556975647739e+01
1.545000000000000000e+03,2.540443188648292505e+01
1.560000000000000000e+03,2.531648875265216958e+01
1.575000000000000000e+03,2.522836569928493589e+01
1.590000000000000000e+03,2.514010963695022127e+01
1.605000000000000000e+03,2.505176497517054557e+01
1.620000000000000000e+03,2.496337373686087346e+01
1.635000000000000000e+03,2.487497566796782067e+01
1.650000000000000000e+03,2.478660834247124001e+01
1.665000000000000000e+03,2.469830726291293388e+01
1.680000000000000000e+03,2.461010595661198508e+01
1.695000000000000000e+03,2.452203606772526712e+01
1.710000000000000000e+03,2.443412744530972702e+01
1.725000000000000000e+03,2.434640822753696554e+01
1.740000000000000000e+03,2.425890492221116190e+01
1.755000000000000000e+03,2.417164248373364543e+01
1.770000000000000000e+03,2.408464438665733098e+01
1.785000000000000000e+03,2.399793269596730738e+01
1.800000000000000000e+03,2.391152813422164058e+01
1.815000000000000000e+03,2.382545014568201580e+01
1.830000000000000000e+03,2.373971695755880873e+01
1.845000000000000000e+03,2.365434563849211358e+01
1.860000000000000000e+03,2.356935215438590703e+01
1.875000000000000000e+03,2.348475142170773466e+01
1.890000000000000000e+03,2.340055735836306994e+01
1.905000000000000000e+03,2.331678293224928566e+01
1.920000000000000000e+03,2.323344020758938555e+01
1.935000000000000000e+03,2.315054038914366430e+01
1.950000000000000000e+03,2.306809386439165621e+01
1.965000000000000000e+03,2.298611024377414580e+01
1.980000000000000000e+03,2.290459839908146122e+01
1.995000000000000000e+03,2.282356650007066534e+01
2.010000000000000000e+03,2.274302204938987870e+01
2.025000000000000000e+03,2.266297191588687809e+01
2.040000000000000000e+03,2.258342236637369993e+01
2.055000000000000000e+03,2.250437909591723695e+01
2.070000000000000000e+03,2.242584725672233859e+01
2.085000000000000000e+03,2.234783148567123945e+01
2.100000000000000000e+03,2.227033593058047600e+01
2.115000000000000000e+03,2.219336427523335331e+01
2.130000000000000000e+03,2.211691976324427245e+01
2.145000000000000000e+03,2.204100522080761948e+01
2.160000000000000000e+03,2.196562307838284767e+01
2.175000000000000000e+03,2.189077539136426864e+01
2.190000000000000000e+03,2.181646385978174507e+01
2.205000000000000000e+03,2.174268984707773811e+01
2.220000000000000000e+03,2.166945439800181106e+01
2.235000000000000000e+03,2.159675825566455742e+01
2.250000000000000000e+03,2.152460187778869027e+01
2.265000000000000000e+03,2.145298545219474917e+01
2.280000000000000000e+03,2.138190891155648288e+01
2.295000000000000000e+03,2.131137194745989305e+01
2.310000000000000000e+03,2.124137402379771444e+01
2.325000000000000000e+03,2.117191438953031479e+01
2.340000000000000000e+03,2.110299209084205074e+01
2.355000000000000000e+03,2.103460598272127058e+01
2.370000000000000000e+03,2.096675473999015438e+01
2.385000000000000000e+03,2.089943686781061061e+01
2.400000000000000000e+03,2.083265071168938931e+01
2.415000000000000000e+03,2.076639446700659875e+01
2.430000000000000000e+03,2.070066618808886716e+01
2.445000000000000000e+03,2.063546379684876442e+01
2.460000000000000000e+03,2.057078509101021169e+01
2.475000000000000000e+03,2.050662775193897502e+01
2.490000000000000000e+03,2.044298935209717172e+01
2.505000000000000000e+03,2.037986736213790451e+01
2.520000000000000000e+03,2.031725915765798973e+01
2.535000000000000000e+03,2.025516202562383228e+01
2.550000000000000000e+03,2.019357317048570266e+01
2.565000000000000000e+03,2.013248971999489001e+01
2.580000000000000000e+03,2.007190873073744442e+01
2.595000000000000000e+03,2.001182719339753646e+01
2.610000000000000000e+03,1.995224203776317040e+01
2.625000000000000000e+03,1.989315013748565875e+01
2.640000000000000000e+03,1.983454831460485934e+01
2.655000000000000000e+03,1.977643334385057372e+01
2.670000000000000000e+03,1.971880195673065117e+01
2.685000000000000000e+03,1.966165084541531627e+01
2.700000000000000000e+03,1.960497666642785219e+01
2.715000000000000000e+03,1.954877604414976133e+01
2.730000000000000000e+03,1.949304557414956918e+01
2.745000000000000000e+03,1.943778182634310170e+01
2.760000000000000000e+03,1.938298134799316585e+01
2.775000000000000000e+03,1.932864066655615432e+01
2.790000000000000000e+03,1.927475629238228549e+01
2.805000000000000000e+03,1.922132472127687564e+01
2.820000000000000000e+03,1.916834243692818163e+01
2.835000000000000000e+03,1.911580591320915445e+01
2.850000000000000000e+03,1.906371161635773248e+01
2.865000000000000000e+03,1.901205600704220089e+01
2.880000000000000000e+03,1.896083554231648094e+01
2.895000000000000000e+03,1.891004667747074919e+01
2.910000000000000000e+03,1.885968586778185596e+01
2.925000000000000000e+03,1.880974957016866966e+01
2.940000000000000000e+03,1.876023424475630463e+01
2.955000000000000000e+03,1.871113635635394346e+01
2.970000000000000000e+03,1.866245237584987038e+01
2.985000000000000000e+03,1.861417878152776950e+01
3.000000000000000000e+03,1.856631206030795056e+01
