# Polar angle [rad], E-plane far-field radiation pattern [V]
0.000000000000000000e+00, 0.000000000000000000e+00
1.755079694742901070e-02, 1.378471739879287387e-02
3.510159389485802139e-02, 2.757155409317284256e-02
5.265239084228703209e-02, 4.136261455748196231e-02
7.020318778971604279e-02, 5.515997364263356545e-02
8.775398473714504655e-02, 6.896566181244542793e-02
1.053047816845740642e-01, 8.278165043786056554e-02
1.228555786320030818e-01, 9.660983716891172191e-02
1.404063755794320856e-01, 1.104520314047543750e-01
1.579571725268610893e-01, 1.243099398825025514e-01
1.755079694742900931e-01, 1.381851524064333092e-01
1.930587664217191246e-01, 1.520791277396729979e-01
2.106095633691481284e-01, 1.659931796814206884e-01
2.281603603165771321e-01, 1.799284633535980782e-01
2.457111572640061636e-01, 1.938859617217473519e-01
2.632619542114351674e-01, 2.078664723760355326e-01
2.808127511588641712e-01, 2.218705945992409667e-01
2.983635481062931749e-01, 2.358987167496505999e-01
3.159143450537221787e-01, 2.499510039878954093e-01
3.334651420011511824e-01, 2.640273863778062613e-01
3.510159389485801862e-01, 2.781275473924395558e-01
3.685667358960092455e-01, 2.922509128574449222e-01
3.861175328434382492e-01, 3.063966403649071579e-01
4.036683297908672530e-01, 3.205636091917395403e-01
4.212191267382962567e-01, 3.347504107574768573e-01
4.387699236857252605e-01, 3.489553396571114519e-01
4.563207206331542642e-01, 3.631763853051648838e-01
4.738715175805832680e-01, 3.774112242277123386e-01
4.914223145280123273e-01, 3.916572130393706774e-01
5.089731114754413310e-01, 4.059113821424572555e-01
5.265239084228703348e-01, 4.201704301854691792e-01
5.440747053702993385e-01, 4.344307193178510440e-01
5.616255023177283423e-01, 4.486882712775627224e-01
5.791762992651573461e-01, 4.629387643473157898e-01
5.967270962125863498e-01, 4.771775312144623804e-01
6.142778931600153536e-01, 4.913995577683622495e-01
6.318286901074443573e-01, 5.055994828676682040e-01
6.493794870548733611e-01, 5.197715991083020626e-01
6.669302840023023649e-01, 5.339098546209556373e-01
6.844810809497313686e-01, 5.480078559247311132e-01
7.020318778971603724e-01, 5.620588718610498580e-01
7.195826748445894872e-01, 5.760558386291811939e-01
7.371334717920184909e-01, 5.899913659416817779e-01
7.546842687394474947e-01, 6.038577443147292723e-01
7.722350656868764984e-01, 6.176469535047169890e-01
7.897858626343055022e-01, 6.313506720986470366e-01
8.073366595817345059e-01, 6.449602882617415656e-01
8.248874565291635097e-01, 6.584669116413770507e-01
8.424382534765925135e-01, 6.718613864218833109e-01
8.599890504240215172e-01, 6.851343055200235233e-01
8.775398473714505210e-01, 6.982760259060293295e-01
8.950906443188795247e-01, 7.112766850300140664e-01
9.126414412663085285e-01, 7.241262183283800891e-01
9.301922382137375322e-01, 7.368143777795380656e-01
9.477430351611665360e-01, 7.493307514729109498e-01
9.652938321085955398e-01, 7.616647841497832250e-01
9.828446290560246545e-01, 7.738057986691725398e-01
1.000395426003453547e+00, 7.857430183465338169e-01
1.017946222950882662e+00, 7.974655901078212539e-01
1.035497019898311555e+00, 8.089626083962445646e-01
1.053047816845740670e+00, 8.202231397640331600e-01
1.070598613793169562e+00, 8.312362480766560813e-01
1.088149410740598677e+00, 8.419910202523344100e-01
1.105700207688027570e+00, 8.524765924553034946e-01
1.123251004635456685e+00, 8.626821766572208006e-01
1.140801801582885799e+00, 8.725970874773756325e-01
1.158352598530314692e+00, 8.822107692089968811e-01
1.175903395477743807e+00, 8.915128229359855494e-01
1.193454192425172700e+00, 9.004930336418671688e-01
1.211004989372601814e+00, 9.091413972106976438e-01
1.228555786320030707e+00, 9.174481472180602282e-01
1.246106583267459822e+00, 9.254037814092345160e-01
1.263657380214888715e+00, 9.329990877610591093e-01
1.281208177162317829e+00, 9.402251700240310539e-01
1.298758974109746722e+00, 9.470734726417282534e-01
1.316309771057175837e+00, 9.535358049457862695e-01
1.333860568004604730e+00, 9.596043645263443445e-01
1.351411364952033844e+00, 9.652717596801598798e-01
1.368962161899462737e+00, 9.705310308414106801e-01
1.386512958846891852e+00, 9.753756709036127681e-01
1.404063755794320745e+00, 9.797996443450067705e-01
1.421614552741749860e+00, 9.837974050742428478e-01
1.439165349689178974e+00, 9.873639129181546181e-01
1.456716146636607867e+00, 9.904946486788703819e-01
1.474266943584036982e+00, 9.931856276934071248e-01
1.491817740531465875e+00, 9.954334118352142768e-01
1.509368537478894989e+00, 9.972351199038274050e-01
1.526919334426323882e+00, 9.985884363558308330e-01
1.544470131373752997e+00, 9.994916183376675312e-01
1.562020928321181890e+00, 9.999435009884106718e-01
1.579571725268611004e+00, 9.999435009884106718e-01
1.597122522216039897e+00, 9.994916183376675312e-01
1.614673319163469012e+00, 9.985884363558307220e-01
1.632224116110897905e+00, 9.972351199038272940e-01
1.649774913058327019e+00, 9.954334118352143879e-01
1.667325710005755912e+00, 9.931856276934071248e-01
1.684876506953185027e+00, 9.904946486788703819e-01
1.702427303900614142e+00, 9.873639129181547291e-01
1.719978100848043034e+00, 9.837974050742429588e-01
1.737528897795472149e+00, 9.797996443450067705e-01
1.755079694742901042e+00, 9.753756709036128791e-01
1.772630491690330157e+00, 9.705310308414107912e-01
1.790181288637759049e+00, 9.652717596801601019e-01
1.807732085585188164e+00, 9.596043645263443445e-01
1.825282882532617057e+00, 9.535358049457862695e-01
1.842833679480046172e+00, 9.470734726417284755e-01
1.860384476427475064e+00, 9.402251700240311649e-01
1.877935273374904179e+00, 9.329990877610592204e-01
1.895486070322333072e+00, 9.254037814092346270e-01
1.913036867269762187e+00, 9.174481472180604502e-01
1.930587664217191080e+00, 9.091413972106977548e-01
1.948138461164620194e+00, 9.004930336418675019e-01
1.965689258112049309e+00, 8.915128229359856604e-01
1.983240055059478202e+00, 8.822107692089971032e-01
2.000790852006907095e+00, 8.725970874773756325e-01
2.018341648954336431e+00, 8.626821766572208006e-01
2.035892445901765324e+00, 8.524765924553037166e-01
2.053443242849194217e+00, 8.419910202523346321e-01
2.070994039796623110e+00, 8.312362480766564143e-01
2.088544836744052446e+00, 8.202231397640332711e-01
2.106095633691481339e+00, 8.089626083962447867e-01
2.123646430638910232e+00, 7.974655901078213649e-01
2.141197227586339125e+00, 7.857430183465342610e-01
2.158748024533768461e+00, 7.738057986691726509e-01
2.176298821481197354e+00, 7.616647841497834470e-01
2.193849618428626247e+00, 7.493307514729112828e-01
2.211400415376055140e+00, 7.368143777795385096e-01
2.228951212323484476e+00, 7.241262183283800891e-01
2.246502009270913369e+00, 7.112766850300143995e-01
2.264052806218342262e+00, 6.982760259060294405e-01
2.281603603165771599e+00, 6.851343055200235233e-01
2.299154400113200492e+00, 6.718613864218835330e-01
2.316705197060629384e+00, 6.584669116413771617e-01
2.334255994008058277e+00, 6.449602882617421207e-01
2.351806790955487614e+00, 6.313506720986472587e-01
2.369357587902916507e+00, 6.176469535047172110e-01
2.386908384850345399e+00, 6.038577443147296053e-01
2.404459181797774292e+00, 5.899913659416824441e-01
2.422009978745203629e+00, 5.760558386291814159e-01
2.439560775692632522e+00, 5.620588718610501910e-01
2.457111572640061414e+00, 5.480078559247312242e-01
2.474662369587490307e+00, 5.339098546209561924e-01
2.492213166534919644e+00, 5.197715991083021736e-01
2.509763963482348537e+00, 5.055994828676679820e-01
2.527314760429777429e+00, 4.913995577683627491e-01
2.544865557377206766e+00, 4.771775312144626580e-01
2.562416354324635659e+00, 4.629387643473160119e-01
2.579967151272064552e+00, 4.486882712775628335e-01
2.597517948219493444e+00, 4.344307193178515436e-01
2.615068745166922781e+00, 4.201704301854690682e-01
2.632619542114351674e+00, 4.059113821424570334e-01
2.650170339061780567e+00, 3.916572130393713436e-01
2.667721136009209459e+00, 3.774112242277129492e-01
2.685271932956638796e+00, 3.631763853051652724e-01
2.702822729904067689e+00, 3.489553396571117849e-01
2.720373526851496582e+00, 3.347504107574771348e-01
2.737924323798925474e+00, 3.205636091917397623e-01
2.755475120746354811e+00, 3.063966403649076020e-01
2.773025917693783704e+00, 2.922509128574447002e-01
2.790576714641212597e+00, 2.781275473924398889e-01
2.808127511588641489e+00, 2.640273863778064833e-01
2.825678308536070826e+00, 2.499510039878959367e-01
2.843229105483499719e+00, 2.358987167496511272e-01
2.860779902430928612e+00, 2.218705945992414108e-01
2.878330699378357949e+00, 2.078664723760354494e-01
2.895881496325786841e+00, 1.938859617217471853e-01
2.913432293273215734e+00, 1.799284633535987721e-01
2.930983090220644627e+00, 1.659931796814213822e-01
2.948533887168073964e+00, 1.520791277396728869e-01
2.966084684115502856e+00, 1.381851524064330872e-01
2.983635481062931749e+00, 1.243099398825022323e-01
3.001186278010360642e+00, 1.104520314047539725e-01
3.018737074957789979e+00, 9.660983716891158313e-02
3.036287871905218871e+00, 8.278165043786032962e-02
3.053838668852647764e+00, 6.896566181244509486e-02
3.071389465800076657e+00, 5.515997364263630631e-02
3.088940262747505994e+00, 4.136261455748179577e-02
3.106491059694934886e+00, 2.757155409317258582e-02
3.124041856642363779e+00, 1.378471739879252173e-02
3.141592653589793116e+00, 0.000000000000000000e+00
3.141592653589793116e+00, 0.000000000000000000e+00
3.159143450537222009e+00, 1.378471739879252173e-02
3.176694247484651346e+00, 2.757155409317258582e-02
3.194245044432080238e+00, 4.136261455748179577e-02
3.211795841379509131e+00, 5.515997364263630631e-02
3.229346638326938024e+00, 6.896566181244509486e-02
3.246897435274367361e+00, 8.278165043786032962e-02
3.264448232221796253e+00, 9.660983716891158313e-02
3.281999029169225146e+00, 1.104520314047539725e-01
3.299549826116654039e+00, 1.243099398825022323e-01
3.317100623064083376e+00, 1.381851524064330872e-01
3.334651420011512268e+00, 1.520791277396728869e-01
3.352202216958941161e+00, 1.659931796814213822e-01
3.369753013906370054e+00, 1.799284633535987721e-01
3.387303810853799391e+00, 1.938859617217471853e-01
3.404854607801228283e+00, 2.078664723760354494e-01
3.422405404748657176e+00, 2.218705945992414108e-01
3.439956201696086069e+00, 2.358987167496511272e-01
3.457506998643515406e+00, 2.499510039878959367e-01
3.475057795590944298e+00, 2.640273863778064833e-01
3.492608592538373191e+00, 2.781275473924398889e-01
3.510159389485802528e+00, 2.922509128574447002e-01
3.527710186433231421e+00, 3.063966403649076020e-01
3.545260983380660313e+00, 3.205636091917397623e-01
3.562811780328089206e+00, 3.347504107574771348e-01
3.580362577275518543e+00, 3.489553396571117849e-01
3.597913374222947436e+00, 3.631763853051652724e-01
3.615464171170376328e+00, 3.774112242277129492e-01
3.633014968117805665e+00, 3.916572130393713436e-01
3.650565765065234558e+00, 4.059113821424570334e-01
3.668116562012663451e+00, 4.201704301854690682e-01
3.685667358960092344e+00, 4.344307193178515436e-01
3.703218155907521236e+00, 4.486882712775628335e-01
3.720768952854950573e+00, 4.629387643473160119e-01
3.738319749802379466e+00, 4.771775312144626580e-01
3.755870546749808359e+00, 4.913995577683627491e-01
3.773421343697237695e+00, 5.055994828676679820e-01
3.790972140644666588e+00, 5.197715991083021736e-01
3.808522937592095481e+00, 5.339098546209561924e-01
3.826073734539524374e+00, 5.480078559247312242e-01
3.843624531486953266e+00, 5.620588718610501910e-01
3.861175328434382603e+00, 5.760558386291814159e-01
3.878726125381811496e+00, 5.899913659416824441e-01
3.896276922329240833e+00, 6.038577443147296053e-01
3.913827719276669725e+00, 6.176469535047172110e-01
3.931378516224098618e+00, 6.313506720986472587e-01
3.948929313171527511e+00, 6.449602882617421207e-01
3.966480110118956404e+00, 6.584669116413771617e-01
3.984030907066385740e+00, 6.718613864218835330e-01
4.001581704013814189e+00, 6.851343055200235233e-01
4.019132500961243970e+00, 6.982760259060294405e-01
4.036683297908672863e+00, 7.112766850300143995e-01
4.054234094856101756e+00, 7.241262183283800891e-01
4.071784891803530648e+00, 7.368143777795385096e-01
4.089335688750959541e+00, 7.493307514729112828e-01
4.106886485698388434e+00, 7.616647841497834470e-01
4.124437282645818215e+00, 7.738057986691726509e-01
4.141988079593247107e+00, 7.857430183465342610e-01
4.159538876540676000e+00, 7.974655901078213649e-01
4.177089673488104893e+00, 8.089626083962447867e-01
4.194640470435533786e+00, 8.202231397640332711e-01
4.212191267382962678e+00, 8.312362480766564143e-01
4.229742064330391571e+00, 8.419910202523346321e-01
4.247292861277820464e+00, 8.524765924553037166e-01
4.264843658225249357e+00, 8.626821766572208006e-01
4.282394455172679137e+00, 8.725970874773756325e-01
4.299945252120108030e+00, 8.822107692089971032e-01
4.317496049067536923e+00, 8.915128229359856604e-01
4.335046846014965816e+00, 9.004930336418675019e-01
4.352597642962394708e+00, 9.091413972106977548e-01
4.370148439909823601e+00, 9.174481472180604502e-01
4.387699236857253382e+00, 9.254037814092346270e-01
4.405250033804682275e+00, 9.329990877610592204e-01
4.422800830752111167e+00, 9.402251700240311649e-01
4.440351627699540060e+00, 9.470734726417284755e-01
4.457902424646968953e+00, 9.535358049457862695e-01
4.475453221594397846e+00, 9.596043645263443445e-01
4.493004018541826738e+00, 9.652717596801601019e-01
4.510554815489255631e+00, 9.705310308414107912e-01
4.528105612436684524e+00, 9.753756709036128791e-01
4.545656409384113417e+00, 9.797996443450067705e-01
4.563207206331543198e+00, 9.837974050742429588e-01
4.580758003278972090e+00, 9.873639129181547291e-01
4.598308800226400983e+00, 9.904946486788703819e-01
4.615859597173829876e+00, 9.931856276934071248e-01
4.633410394121258769e+00, 9.954334118352143879e-01
4.650961191068688549e+00, 9.972351199038272940e-01
4.668511988016117442e+00, 9.985884363558307220e-01
4.686062784963546335e+00, 9.994916183376675312e-01
4.703613581910975228e+00, 9.999435009884106718e-01
4.721164378858404120e+00, 9.999435009884106718e-01
4.738715175805833013e+00, 9.994916183376675312e-01
4.756265972753261906e+00, 9.985884363558308330e-01
4.773816769700690799e+00, 9.972351199038274050e-01
4.791367566648119691e+00, 9.954334118352142768e-01
4.808918363595548584e+00, 9.931856276934071248e-01
4.826469160542978365e+00, 9.904946486788703819e-01
4.844019957490407258e+00, 9.873639129181546181e-01
4.861570754437836150e+00, 9.837974050742428478e-01
4.879121551385265043e+00, 9.797996443450067705e-01
4.896672348332693936e+00, 9.753756709036127681e-01
4.914223145280123717e+00, 9.705310308414106801e-01
4.931773942227552610e+00, 9.652717596801598798e-01
4.949324739174981502e+00, 9.596043645263443445e-01
4.966875536122410395e+00, 9.535358049457862695e-01
4.984426333069839288e+00, 9.470734726417282534e-01
5.001977130017268180e+00, 9.402251700240310539e-01
5.019527926964697073e+00, 9.329990877610591093e-01
5.037078723912125966e+00, 9.254037814092345160e-01
5.054629520859554859e+00, 9.174481472180602282e-01
5.072180317806983751e+00, 9.091413972106976438e-01
5.089731114754413532e+00, 9.004930336418671688e-01
5.107281911701842425e+00, 8.915128229359855494e-01
5.124832708649271318e+00, 8.822107692089968811e-01
5.142383505596700211e+00, 8.725970874773756325e-01
5.159934302544129991e+00, 8.626821766572208006e-01
5.177485099491558884e+00, 8.524765924553034946e-01
5.195035896438987777e+00, 8.419910202523344100e-01
5.212586693386416670e+00, 8.312362480766560813e-01
5.230137490333845562e+00, 8.202231397640331600e-01
5.247688287281274455e+00, 8.089626083962445646e-01
5.265239084228703348e+00, 7.974655901078212539e-01
5.282789881176132241e+00, 7.857430183465338169e-01
5.300340678123561133e+00, 7.738057986691725398e-01
5.317891475070990026e+00, 7.616647841497832250e-01
5.335442272018418919e+00, 7.493307514729109498e-01
5.352993068965847812e+00, 7.368143777795380656e-01
5.370543865913277592e+00, 7.241262183283800891e-01
5.388094662860706485e+00, 7.112766850300140664e-01
5.405645459808135378e+00, 6.982760259060293295e-01
5.423196256755565159e+00, 6.851343055200235233e-01
5.440747053702994052e+00, 6.718613864218833109e-01
5.458297850650422944e+00, 6.584669116413770507e-01
5.475848647597851837e+00, 6.449602882617415656e-01
5.493399444545280730e+00, 6.313506720986470366e-01
5.510950241492709623e+00, 6.176469535047169890e-01
5.528501038440138515e+00, 6.038577443147292723e-01
5.546051835387567408e+00, 5.899913659416817779e-01
5.563602632334996301e+00, 5.760558386291811939e-01
5.581153429282425193e+00, 5.620588718610498580e-01
5.598704226229854086e+00, 5.480078559247311132e-01
5.616255023177282979e+00, 5.339098546209556373e-01
5.633805820124712760e+00, 5.197715991083020626e-01
5.651356617072141653e+00, 5.055994828676682040e-01
5.668907414019570545e+00, 4.913995577683622495e-01
5.686458210967000326e+00, 4.771775312144623804e-01
5.704009007914429219e+00, 4.629387643473157898e-01
5.721559804861858112e+00, 4.486882712775627224e-01
5.739110601809287004e+00, 4.344307193178510440e-01
5.756661398756715897e+00, 4.201704301854691792e-01
5.774212195704144790e+00, 4.059113821424572555e-01
5.791762992651573683e+00, 3.916572130393706774e-01
5.809313789599002575e+00, 3.774112242277123386e-01
5.826864586546431468e+00, 3.631763853051648838e-01
5.844415383493860361e+00, 3.489553396571114519e-01
5.861966180441289254e+00, 3.347504107574768573e-01
5.879516977388718146e+00, 3.205636091917395403e-01
5.897067774336147927e+00, 3.063966403649071579e-01
5.914618571283576820e+00, 2.922509128574449222e-01
5.932169368231005713e+00, 2.781275473924395558e-01
5.949720165178434605e+00, 2.640273863778062613e-01
5.967270962125864386e+00, 2.499510039878954093e-01
5.984821759073293279e+00, 2.358987167496505999e-01
6.002372556020722172e+00, 2.218705945992409667e-01
6.019923352968151065e+00, 2.078664723760355326e-01
6.037474149915579957e+00, 1.938859617217473519e-01
6.055024946863008850e+00, 1.799284633535980782e-01
6.072575743810437743e+00, 1.659931796814206884e-01
6.090126540757866636e+00, 1.520791277396729979e-01
6.107677337705295528e+00, 1.381851524064333092e-01
6.125228134652724421e+00, 1.243099398825025514e-01
6.142778931600153314e+00, 1.104520314047543750e-01
6.160329728547583095e+00, 9.660983716891172191e-02
6.177880525495011987e+00, 8.278165043786056554e-02
6.195431322442440880e+00, 6.896566181244542793e-02
6.212982119389869773e+00, 5.515997364263356545e-02
6.230532916337299554e+00, 4.136261455748196231e-02
6.248083713284728447e+00, 2.757155409317284256e-02
6.265634510232157339e+00, 1.378471739879287387e-02
6.283185307179586232e+00, 0.000000000000000000e+00
