# Azimuthal angle [rad], H-plane far-field radiation pattern [V]
0.000000000000000000e+00, 1.000000000000000000e+00
1.750190893364787087e-02, 1.000000000000000000e+00
3.500381786729574174e-02, 1.000000000000000000e+00
5.250572680094361261e-02, 1.000000000000000000e+00
7.000763573459148348e-02, 1.000000000000000000e+00
8.750954466823934741e-02, 1.000000000000000000e+00
1.050114536018872252e-01, 1.000000000000000000e+00
1.225133625355351030e-01, 1.000000000000000000e+00
1.400152714691829670e-01, 1.000000000000000000e+00
1.575171804028308309e-01, 1.000000000000000000e+00
1.750190893364786948e-01, 1.000000000000000000e+00
1.925209982701265865e-01, 1.000000000000000000e+00
2.100229072037744504e-01, 1.000000000000000000e+00
2.275248161374223144e-01, 1.000000000000000000e+00
2.450267250710702061e-01, 1.000000000000000000e+00
2.625286340047180422e-01, 1.000000000000000000e+00
2.800305429383659339e-01, 1.000000000000000000e+00
2.975324518720138256e-01, 1.000000000000000000e+00
3.150343608056616618e-01, 1.000000000000000000e+00
3.325362697393095535e-01, 1.000000000000000000e+00
3.500381786729573896e-01, 1.000000000000000000e+00
3.675400876066052813e-01, 1.000000000000000000e+00
3.850419965402531730e-01, 1.000000000000000000e+00
4.025439054739010092e-01, 1.000000000000000000e+00
4.200458144075489009e-01, 1.000000000000000000e+00
4.375477233411967926e-01, 1.000000000000000000e+00
4.550496322748446287e-01, 1.000000000000000000e+00
4.725515412084925204e-01, 1.000000000000000000e+00
4.900534501421404121e-01, 1.000000000000000000e+00
5.075553590757883038e-01, 1.000000000000000000e+00
5.250572680094360845e-01, 1.000000000000000000e+00
5.425591769430839761e-01, 1.000000000000000000e+00
5.600610858767318678e-01, 1.000000000000000000e+00
5.775629948103797595e-01, 1.000000000000000000e+00
5.950649037440276512e-01, 1.000000000000000000e+00
6.125668126776754319e-01, 1.000000000000000000e+00
6.300687216113233236e-01, 1.000000000000000000e+00
6.475706305449712152e-01, 1.000000000000000000e+00
6.650725394786191069e-01, 1.000000000000000000e+00
6.825744484122669986e-01, 1.000000000000000000e+00
7.000763573459147793e-01, 1.000000000000000000e+00
7.175782662795626710e-01, 1.000000000000000000e+00
7.350801752132105626e-01, 1.000000000000000000e+00
7.525820841468584543e-01, 1.000000000000000000e+00
7.700839930805063460e-01, 1.000000000000000000e+00
7.875859020141542377e-01, 1.000000000000000000e+00
8.050878109478020184e-01, 1.000000000000000000e+00
8.225897198814499101e-01, 1.000000000000000000e+00
8.400916288150978017e-01, 1.000000000000000000e+00
8.575935377487456934e-01, 1.000000000000000000e+00
8.750954466823935851e-01, 1.000000000000000000e+00
8.925973556160413658e-01, 1.000000000000000000e+00
9.100992645496892575e-01, 1.000000000000000000e+00
9.276011734833371492e-01, 1.000000000000000000e+00
9.451030824169850408e-01, 1.000000000000000000e+00
9.626049913506329325e-01, 1.000000000000000000e+00
9.801069002842808242e-01, 1.000000000000000000e+00
9.976088092179286049e-01, 1.000000000000000000e+00
1.015110718151576608e+00, 1.000000000000000000e+00
1.032612627085224277e+00, 1.000000000000000000e+00
1.050114536018872169e+00, 1.000000000000000000e+00
1.067616444952520061e+00, 1.000000000000000000e+00
1.085118353886167952e+00, 1.000000000000000000e+00
1.102620262819815844e+00, 1.000000000000000000e+00
1.120122171753463736e+00, 1.000000000000000000e+00
1.137624080687111627e+00, 1.000000000000000000e+00
1.155125989620759519e+00, 1.000000000000000000e+00
1.172627898554407411e+00, 1.000000000000000000e+00
1.190129807488055302e+00, 1.000000000000000000e+00
1.207631716421703194e+00, 1.000000000000000000e+00
1.225133625355350864e+00, 1.000000000000000000e+00
1.242635534288998755e+00, 1.000000000000000000e+00
1.260137443222646647e+00, 1.000000000000000000e+00
1.277639352156294539e+00, 1.000000000000000000e+00
1.295141261089942430e+00, 1.000000000000000000e+00
1.312643170023590322e+00, 1.000000000000000000e+00
1.330145078957238214e+00, 1.000000000000000000e+00
1.347646987890886106e+00, 1.000000000000000000e+00
1.365148896824533997e+00, 1.000000000000000000e+00
1.382650805758181889e+00, 1.000000000000000000e+00
1.400152714691829559e+00, 1.000000000000000000e+00
1.417654623625477450e+00, 1.000000000000000000e+00
1.435156532559125342e+00, 1.000000000000000000e+00
1.452658441492773234e+00, 1.000000000000000000e+00
1.470160350426421125e+00, 1.000000000000000000e+00
1.487662259360069017e+00, 1.000000000000000000e+00
1.505164168293716909e+00, 1.000000000000000000e+00
1.522666077227364800e+00, 1.000000000000000000e+00
1.540167986161012692e+00, 1.000000000000000000e+00
1.557669895094660584e+00, 1.000000000000000000e+00
1.575171804028308475e+00, 1.000000000000000000e+00
1.592673712961956145e+00, 1.000000000000000000e+00
1.610175621895604037e+00, 1.000000000000000000e+00
1.627677530829251928e+00, 1.000000000000000000e+00
1.645179439762899820e+00, 1.000000000000000000e+00
1.662681348696547712e+00, 1.000000000000000000e+00
1.680183257630195603e+00, 1.000000000000000000e+00
1.697685166563843495e+00, 1.000000000000000000e+00
1.715187075497491387e+00, 1.000000000000000000e+00
1.732688984431139279e+00, 1.000000000000000000e+00
1.750190893364787170e+00, 1.000000000000000000e+00
1.767692802298435062e+00, 1.000000000000000000e+00
1.785194711232082732e+00, 1.000000000000000000e+00
1.802696620165730623e+00, 1.000000000000000000e+00
1.820198529099378515e+00, 1.000000000000000000e+00
1.837700438033026407e+00, 1.000000000000000000e+00
1.855202346966674298e+00, 1.000000000000000000e+00
1.872704255900322190e+00, 1.000000000000000000e+00
1.890206164833970082e+00, 1.000000000000000000e+00
1.907708073767617973e+00, 1.000000000000000000e+00
1.925209982701265865e+00, 1.000000000000000000e+00
1.942711891634913757e+00, 1.000000000000000000e+00
1.960213800568561648e+00, 1.000000000000000000e+00
1.977715709502209318e+00, 1.000000000000000000e+00
1.995217618435857210e+00, 1.000000000000000000e+00
2.012719527369505101e+00, 1.000000000000000000e+00
2.030221436303153215e+00, 1.000000000000000000e+00
2.047723345236800885e+00, 1.000000000000000000e+00
2.065225254170448554e+00, 1.000000000000000000e+00
2.082727163104096668e+00, 1.000000000000000000e+00
2.100229072037744338e+00, 1.000000000000000000e+00
2.117730980971392452e+00, 1.000000000000000000e+00
2.135232889905040121e+00, 1.000000000000000000e+00
2.152734798838688235e+00, 1.000000000000000000e+00
2.170236707772335905e+00, 1.000000000000000000e+00
2.187738616705984018e+00, 1.000000000000000000e+00
2.205240525639631688e+00, 1.000000000000000000e+00
2.222742434573279802e+00, 1.000000000000000000e+00
2.240244343506927471e+00, 1.000000000000000000e+00
2.257746252440575141e+00, 1.000000000000000000e+00
2.275248161374223255e+00, 1.000000000000000000e+00
2.292750070307870924e+00, 1.000000000000000000e+00
2.310251979241519038e+00, 1.000000000000000000e+00
2.327753888175166708e+00, 1.000000000000000000e+00
2.345255797108814821e+00, 1.000000000000000000e+00
2.362757706042462491e+00, 1.000000000000000000e+00
2.380259614976110605e+00, 1.000000000000000000e+00
2.397761523909758274e+00, 1.000000000000000000e+00
2.415263432843406388e+00, 1.000000000000000000e+00
2.432765341777054058e+00, 1.000000000000000000e+00
2.450267250710701727e+00, 1.000000000000000000e+00
2.467769159644349841e+00, 1.000000000000000000e+00
2.485271068577997511e+00, 1.000000000000000000e+00
2.502772977511645625e+00, 1.000000000000000000e+00
2.520274886445293294e+00, 1.000000000000000000e+00
2.537776795378941408e+00, 1.000000000000000000e+00
2.555278704312589078e+00, 1.000000000000000000e+00
2.572780613246237191e+00, 1.000000000000000000e+00
2.590282522179884861e+00, 1.000000000000000000e+00
2.607784431113532975e+00, 1.000000000000000000e+00
2.625286340047180644e+00, 1.000000000000000000e+00
2.642788248980828314e+00, 1.000000000000000000e+00
2.660290157914476428e+00, 1.000000000000000000e+00
2.677792066848124097e+00, 1.000000000000000000e+00
2.695293975781772211e+00, 1.000000000000000000e+00
2.712795884715419881e+00, 1.000000000000000000e+00
2.730297793649067994e+00, 1.000000000000000000e+00
2.747799702582715664e+00, 1.000000000000000000e+00
2.765301611516363778e+00, 1.000000000000000000e+00
2.782803520450011447e+00, 1.000000000000000000e+00
2.800305429383659117e+00, 1.000000000000000000e+00
2.817807338317307231e+00, 1.000000000000000000e+00
2.835309247250954900e+00, 1.000000000000000000e+00
2.852811156184603014e+00, 1.000000000000000000e+00
2.870313065118250684e+00, 1.000000000000000000e+00
2.887814974051898798e+00, 1.000000000000000000e+00
2.905316882985546467e+00, 1.000000000000000000e+00
2.922818791919194581e+00, 1.000000000000000000e+00
2.940320700852842251e+00, 1.000000000000000000e+00
2.957822609786490364e+00, 1.000000000000000000e+00
2.975324518720138034e+00, 1.000000000000000000e+00
2.992826427653785704e+00, 1.000000000000000000e+00
3.010328336587433817e+00, 1.000000000000000000e+00
3.027830245521081487e+00, 1.000000000000000000e+00
3.045332154454729601e+00, 1.000000000000000000e+00
3.062834063388377270e+00, 1.000000000000000000e+00
3.080335972322025384e+00, 1.000000000000000000e+00
3.097837881255673054e+00, 1.000000000000000000e+00
3.115339790189321167e+00, 1.000000000000000000e+00
3.132841699122968837e+00, 1.000000000000000000e+00
3.150343608056616951e+00, 1.000000000000000000e+00
3.167845516990264620e+00, 1.000000000000000000e+00
3.185347425923912290e+00, 1.000000000000000000e+00
3.202849334857560404e+00, 1.000000000000000000e+00
3.220351243791208073e+00, 1.000000000000000000e+00
3.237853152724856187e+00, 1.000000000000000000e+00
3.255355061658503857e+00, 1.000000000000000000e+00
3.272856970592151971e+00, 1.000000000000000000e+00
3.290358879525799640e+00, 1.000000000000000000e+00
3.307860788459447754e+00, 1.000000000000000000e+00
3.325362697393095424e+00, 1.000000000000000000e+00
3.342864606326743537e+00, 1.000000000000000000e+00
3.360366515260391207e+00, 1.000000000000000000e+00
3.377868424194038877e+00, 1.000000000000000000e+00
3.395370333127686990e+00, 1.000000000000000000e+00
3.412872242061334660e+00, 1.000000000000000000e+00
3.430374150994982774e+00, 1.000000000000000000e+00
3.447876059928630443e+00, 1.000000000000000000e+00
3.465377968862278557e+00, 1.000000000000000000e+00
3.482879877795926227e+00, 1.000000000000000000e+00
3.500381786729574340e+00, 1.000000000000000000e+00
3.517883695663222010e+00, 1.000000000000000000e+00
3.535385604596870124e+00, 1.000000000000000000e+00
3.552887513530517793e+00, 1.000000000000000000e+00
3.570389422464165463e+00, 1.000000000000000000e+00
3.587891331397813577e+00, 1.000000000000000000e+00
3.605393240331461246e+00, 1.000000000000000000e+00
3.622895149265109360e+00, 1.000000000000000000e+00
3.640397058198757030e+00, 1.000000000000000000e+00
3.657898967132405144e+00, 1.000000000000000000e+00
3.675400876066052813e+00, 1.000000000000000000e+00
3.692902784999700927e+00, 1.000000000000000000e+00
3.710404693933348597e+00, 1.000000000000000000e+00
3.727906602866996710e+00, 1.000000000000000000e+00
3.745408511800644380e+00, 1.000000000000000000e+00
3.762910420734292050e+00, 1.000000000000000000e+00
3.780412329667940163e+00, 1.000000000000000000e+00
3.797914238601587833e+00, 1.000000000000000000e+00
3.815416147535235947e+00, 1.000000000000000000e+00
3.832918056468883616e+00, 1.000000000000000000e+00
3.850419965402531730e+00, 1.000000000000000000e+00
3.867921874336179400e+00, 1.000000000000000000e+00
3.885423783269827513e+00, 1.000000000000000000e+00
3.902925692203475183e+00, 1.000000000000000000e+00
3.920427601137123297e+00, 1.000000000000000000e+00
3.937929510070770966e+00, 1.000000000000000000e+00
3.955431419004418636e+00, 1.000000000000000000e+00
3.972933327938066750e+00, 1.000000000000000000e+00
3.990435236871714419e+00, 1.000000000000000000e+00
4.007937145805362533e+00, 1.000000000000000000e+00
4.025439054739010203e+00, 1.000000000000000000e+00
4.042940963672657873e+00, 1.000000000000000000e+00
4.060442872606306430e+00, 1.000000000000000000e+00
4.077944781539954100e+00, 1.000000000000000000e+00
4.095446690473601770e+00, 1.000000000000000000e+00
4.112948599407249439e+00, 1.000000000000000000e+00
4.130450508340897109e+00, 1.000000000000000000e+00
4.147952417274545667e+00, 1.000000000000000000e+00
4.165454326208193336e+00, 1.000000000000000000e+00
4.182956235141841006e+00, 1.000000000000000000e+00
4.200458144075488676e+00, 1.000000000000000000e+00
4.217960053009137233e+00, 1.000000000000000000e+00
4.235461961942784903e+00, 1.000000000000000000e+00
4.252963870876432573e+00, 1.000000000000000000e+00
4.270465779810080242e+00, 1.000000000000000000e+00
4.287967688743728800e+00, 1.000000000000000000e+00
4.305469597677376470e+00, 1.000000000000000000e+00
4.322971506611024139e+00, 1.000000000000000000e+00
4.340473415544671809e+00, 1.000000000000000000e+00
4.357975324478319479e+00, 1.000000000000000000e+00
4.375477233411968037e+00, 1.000000000000000000e+00
4.392979142345615706e+00, 1.000000000000000000e+00
4.410481051279263376e+00, 1.000000000000000000e+00
4.427982960212911046e+00, 1.000000000000000000e+00
4.445484869146559603e+00, 1.000000000000000000e+00
4.462986778080207273e+00, 1.000000000000000000e+00
4.480488687013854943e+00, 1.000000000000000000e+00
4.497990595947502612e+00, 1.000000000000000000e+00
4.515492504881150282e+00, 1.000000000000000000e+00
4.532994413814798840e+00, 1.000000000000000000e+00
4.550496322748446509e+00, 1.000000000000000000e+00
4.567998231682094179e+00, 1.000000000000000000e+00
4.585500140615741849e+00, 1.000000000000000000e+00
4.603002049549390406e+00, 1.000000000000000000e+00
4.620503958483038076e+00, 1.000000000000000000e+00
4.638005867416685746e+00, 1.000000000000000000e+00
4.655507776350333415e+00, 1.000000000000000000e+00
4.673009685283981085e+00, 1.000000000000000000e+00
4.690511594217629643e+00, 1.000000000000000000e+00
4.708013503151277312e+00, 1.000000000000000000e+00
4.725515412084924982e+00, 1.000000000000000000e+00
4.743017321018572652e+00, 1.000000000000000000e+00
4.760519229952221210e+00, 1.000000000000000000e+00
4.778021138885868879e+00, 1.000000000000000000e+00
4.795523047819516549e+00, 1.000000000000000000e+00
4.813024956753164219e+00, 1.000000000000000000e+00
4.830526865686812776e+00, 1.000000000000000000e+00
4.848028774620460446e+00, 1.000000000000000000e+00
4.865530683554108116e+00, 1.000000000000000000e+00
4.883032592487755785e+00, 1.000000000000000000e+00
4.900534501421403455e+00, 1.000000000000000000e+00
4.918036410355052013e+00, 1.000000000000000000e+00
4.935538319288699682e+00, 1.000000000000000000e+00
4.953040228222347352e+00, 1.000000000000000000e+00
4.970542137155995022e+00, 1.000000000000000000e+00
4.988044046089643579e+00, 1.000000000000000000e+00
5.005545955023291249e+00, 1.000000000000000000e+00
5.023047863956938919e+00, 1.000000000000000000e+00
5.040549772890586588e+00, 1.000000000000000000e+00
5.058051681824234258e+00, 1.000000000000000000e+00
5.075553590757882816e+00, 1.000000000000000000e+00
5.093055499691530486e+00, 1.000000000000000000e+00
5.110557408625178155e+00, 1.000000000000000000e+00
5.128059317558825825e+00, 1.000000000000000000e+00
5.145561226492474383e+00, 1.000000000000000000e+00
5.163063135426122052e+00, 1.000000000000000000e+00
5.180565044359769722e+00, 1.000000000000000000e+00
5.198066953293417392e+00, 1.000000000000000000e+00
5.215568862227065949e+00, 1.000000000000000000e+00
5.233070771160713619e+00, 1.000000000000000000e+00
5.250572680094361289e+00, 1.000000000000000000e+00
5.268074589028008958e+00, 1.000000000000000000e+00
5.285576497961656628e+00, 1.000000000000000000e+00
5.303078406895305186e+00, 1.000000000000000000e+00
5.320580315828952855e+00, 1.000000000000000000e+00
5.338082224762600525e+00, 1.000000000000000000e+00
5.355584133696248195e+00, 1.000000000000000000e+00
5.373086042629896752e+00, 1.000000000000000000e+00
5.390587951563544422e+00, 1.000000000000000000e+00
5.408089860497192092e+00, 1.000000000000000000e+00
5.425591769430839761e+00, 1.000000000000000000e+00
5.443093678364487431e+00, 1.000000000000000000e+00
5.460595587298135989e+00, 1.000000000000000000e+00
5.478097496231783659e+00, 1.000000000000000000e+00
5.495599405165431328e+00, 1.000000000000000000e+00
5.513101314099078998e+00, 1.000000000000000000e+00
5.530603223032727556e+00, 1.000000000000000000e+00
5.548105131966375225e+00, 1.000000000000000000e+00
5.565607040900022895e+00, 1.000000000000000000e+00
5.583108949833670565e+00, 1.000000000000000000e+00
5.600610858767318234e+00, 1.000000000000000000e+00
5.618112767700966792e+00, 1.000000000000000000e+00
5.635614676634614462e+00, 1.000000000000000000e+00
5.653116585568262131e+00, 1.000000000000000000e+00
5.670618494501909801e+00, 1.000000000000000000e+00
5.688120403435558359e+00, 1.000000000000000000e+00
5.705622312369206028e+00, 1.000000000000000000e+00
5.723124221302853698e+00, 1.000000000000000000e+00
5.740626130236501368e+00, 1.000000000000000000e+00
5.758128039170149925e+00, 1.000000000000000000e+00
5.775629948103797595e+00, 1.000000000000000000e+00
5.793131857037445265e+00, 1.000000000000000000e+00
5.810633765971092934e+00, 1.000000000000000000e+00
5.828135674904740604e+00, 1.000000000000000000e+00
5.845637583838389162e+00, 1.000000000000000000e+00
5.863139492772036832e+00, 1.000000000000000000e+00
5.880641401705684501e+00, 1.000000000000000000e+00
5.898143310639332171e+00, 1.000000000000000000e+00
5.915645219572980729e+00, 1.000000000000000000e+00
5.933147128506628398e+00, 1.000000000000000000e+00
5.950649037440276068e+00, 1.000000000000000000e+00
5.968150946373923738e+00, 1.000000000000000000e+00
5.985652855307571407e+00, 1.000000000000000000e+00
6.003154764241219965e+00, 1.000000000000000000e+00
6.020656673174867635e+00, 1.000000000000000000e+00
6.038158582108515304e+00, 1.000000000000000000e+00
6.055660491042162974e+00, 1.000000000000000000e+00
6.073162399975811532e+00, 1.000000000000000000e+00
6.090664308909459201e+00, 1.000000000000000000e+00
6.108166217843106871e+00, 1.000000000000000000e+00
6.125668126776754541e+00, 1.000000000000000000e+00
6.143170035710403099e+00, 1.000000000000000000e+00
6.160671944644050768e+00, 1.000000000000000000e+00
6.178173853577698438e+00, 1.000000000000000000e+00
6.195675762511346107e+00, 1.000000000000000000e+00
6.213177671444993777e+00, 1.000000000000000000e+00
6.230679580378642335e+00, 1.000000000000000000e+00
6.248181489312290005e+00, 1.000000000000000000e+00
6.265683398245937674e+00, 1.000000000000000000e+00
6.283185307179586232e+00, 1.000000000000000000e+00
